kicid,num_peaks,peak_id,accept_bic,accept_time,channel,skygroup,module,output,quarter,season,chunk,t0,s2n,bkg,depth,depth_ivar,transit_ror,transit_duration,transit_time,chunk_min_time,chunk_max_time,centroid_offset,centroid_offset_err,lnlike_gp,lnlike_outlier,lnlike_box1,lnlike_box2,lnlike_step,lnlike_transit,bic_gp,bic_outlier,bic_box1,bic_box2,bic_step,bic_transit
10068041,1,0,True,True,61,21,18,1,2,0,5,217.7342929570433,48.5219767740887,1.7448306508096318,0.0009126870029600163,2826654134.8739367,0.039896579022787274,2.0986774322872574,217.9757003328803,211.2663098324556,224.13943383528385,0.0007917430330590146,0.0005443553247999347,3694.0147413546433,3692.75662628374,3691.8569512514723,3703.8924663745806,3693.683976547631,3720.0517280251806,3681.585525157799,3677.2201060376847,3673.2131269562055,3685.248642079314,3662.61093605552,3695.1932956314918
8463272,2,0,True,True,4,56,2,4,7,1,24,641.0931545525679,106.15489819844368,0.7791504448265181,0.007200011171503195,217490670.64984947,0.15281655111744288,0.2035503983403343,641.0207408667022,635.5087847657924,646.6856475694149,0.0064037822480347475,9.075928227801237e-05,2722.133834768102,2723.6474428903357,2456.2760862404375,2751.8067576146536,2851.3101229550243,3186.5849886360006,2709.704618571258,2708.1109226442804,2437.6322619451707,2733.162933319387,2820.2370824629133,3161.7265562423117
8463272,2,1,True,True,84,56,24,4,13,3,59,1206.5468914260252,100.87165760261627,3.8741177496759067,0.006140490931881501,269856769.60733974,0.15262486596778946,0.20271412956593052,1206.7347525474595,1200.983897954764,1212.1205988829097,0.0014854083816434726,0.00014526015852937116,2329.1692274227094,2334.259390006156,2456.257217986157,2770.777150760497,2673.751350302534,3129.121385154579,2316.740011225865,2318.722869760101,2437.61339369089,2752.1333264652303,2642.678309810423,3104.26295276089
11709124,1,0,True,True,30,2,10,2,7,1,37,657.3360137465984,158.6044248953373,1.0188479475744516,0.00790287224446004,414804222.7813352,0.08756286910619697,0.7365958062538298,657.2670733273314,651.9360137465992,660.190938218373,0.0012641503241417995,1.914067193116674e-05,1839.6728719739613,1839.466110978957,1842.6793040886864,1842.679269104691,1840.422817254424,1953.517507853702,1828.367893613424,1825.3348880282854,1825.7218365478805,1825.721801563885,1812.1603713530808,1930.9075511326273
10602068,1,0,True,True,57,17,17,1,9,3,32,830.8246022903938,941.1079461115288,1.3568443946853028,0.050957841894773655,341080449.6051029,0.265350541090082,0.5418143664709218,830.8088369651741,825.3332018434958,836.2859501922721,0.00021910908732806605,0.00018461025074346298,2807.636085624408,2806.9885082564247,2815.279920066326,2812.739084585861,814.8381987208459,3238.094332909612,2795.206869427564,2791.4519880103694,2796.6360957710594,2794.095260290594,783.7651582287349,3213.2359005159233
11038446,1,0,True,True,73,13,22,1,5,3,17,489.0369920048815,327.6820395176421,1.47122140194321,0.018565794179744372,311514463.2991603,0.20854970971062564,0.3224608175866276,488.9495727483358,483.54117389250314,494.5348498769017,0.00017300570736044344,0.00023488443495342778,2780.6281847658297,2781.6690399786207,2787.3334241042935,2789.9465362137853,1732.6660717466464,3237.611983441257,2768.1989685689855,2766.1325197325655,2768.6895998090267,2771.3027119185185,1701.5930312545354,3212.753551047568
4586468,6,0,False,True,16,76,6,4,3,1,10,318.12621346637644,933.9954617537775,2.8719084153189014,0.05619700232379582,281025466.68538755,0.06975563858538356,2.4980527323005774,318.37606199143136,310.38762698470237,321.42119120815187,0.000876399928214152,0.002919761261952036,nan,nan,2875.630474237038,nan,nan,2875.103199418551,nan,nan,2856.9866499417712,nan,nan,2850.244767024862
4586468,6,1,True,True,72,76,20,4,17,3,74,1564.195853106254,716.642348952669,2.673085282892921,0.04382543245405829,268021068.8967885,0.20455020395540335,0.8043337138523645,1564.162744793081,1559.2458531062512,1570.5051775630272,0.05897607229633709,0.0025621225607708464,2924.773815656789,2923.901092486077,2929.5457726651034,2928.0370973896556,1809.0562790262502,3073.0398824147824,2912.3445994599447,2908.3645722400215,2910.9019483698366,2909.393273094389,1777.9832385341392,3048.1814500210935
4586468,6,2,True,True,72,76,20,4,9,3,32,824.4356958959067,672.3324078145853,1.6879887247905623,0.04199321951955045,256336084.86252147,0.1603893294472505,1.6891706941980702,824.7320523872875,819.0184729644825,829.8487013510749,0.025776907817943673,0.0044882745618541305,3006.8700712292466,3005.6525830130604,3008.696509783163,3009.2603154025433,2983.064754026985,3019.520707290558,2994.4408550324024,2990.116062767005,2990.0526854878963,2990.6164911072765,2951.991713534874,2994.6622748968693
8009496,6,0,True,True,54,30,16,2,6,0,22,612.4185500616959,36.24216705458677,0.7941095392733872,0.001056538706577041,1176677617.5051384,0.06119338369884784,0.15684902441764628,612.2940327883307,606.799264253088,618.0374620919029,0.03469167185579917,6.321680855242682e-05,3361.990980408705,3363.9631117155595,3513.408980459194,3509.8710723989507,3548.8638233806932,3603.706537904447,3349.561764211861,3348.4265914695043,3494.7651561639273,3491.227248103684,3517.7907828885823,3578.848105510758
8009496,6,1,True,True,54,30,16,2,10,0,44,996.9384181082324,28.217443144636924,0.5409939128482446,0.0010172905299497192,779790951.867011,0.05815081948839545,0.19359039423875155,997.0639243451113,988.2330519561292,1000.2680828694429,0.03739816786667568,7.901591684463632e-05,3248.662787468198,3341.6187364409025,3459.5973692647804,3433.5202334847445,3542.2875231116573,3581.6061983010823,3236.233571271354,3326.082216194847,3440.9535449695136,3414.8764091894777,3511.2144826195463,3556.7477659073934
8009496,6,2,True,True,54,30,16,2,6,0,21,574.0037096620367,27.811830306843714,0.7330127565644946,0.0008786501201928993,1002056499.4356412,0.05840563895218082,0.13822012249804105,573.819512414865,568.2414888739222,579.7660152269236,0.031224795387537425,6.979419959006555e-05,3389.5745012442176,3390.9765684248714,3559.8182264361503,3509.668520507747,3545.6081707254198,3601.2789258384355,3377.1452850473734,3375.440048178816,3541.1744021408836,3491.02469621248,3514.535130233309,3576.4204934447466
10842718,1,0,True,True,76,12,22,4,2,0,4,226.2840978803545,77.28799934914672,2.0249518478606854,0.00420517642224903,339473628.34996915,0.07196019611216987,1.5146435762393813,226.2321979463464,218.58120838920877,230.26907681718149,0.0005963908951327326,0.00012648884065583397,3179.2697044620986,3179.1639923875105,3181.6337243209696,3202.7650831488745,3190.2820782999243,3257.677738662535,3166.8404882652544,3163.627472141455,3162.989900025703,3184.1212588536077,3159.2090378078133,3232.819306268846
10613792,2,0,True,True,6,34,3,2,3,1,8,273.61580837094465,208.8426466734396,2.971864777031541,0.010034661162278956,433163226.4991429,0.08852174364890021,1.058120797985128,273.61626377994645,267.98953016028827,279.22769489212806,0.008215013316308426,0.0007093644606314907,3203.869668009714,3204.844573732196,3208.0962976654455,3211.166549768068,3206.092536214277,3247.2661116859,3191.44045181287,3189.3080534861406,3189.4524733701787,3192.522725472801,3175.019495722166,3222.407679292211
10613792,2,1,True,True,50,34,15,2,10,0,32,940.5031412227934,193.28457452953572,3.812938423229657,0.009442847491008342,461732960.5569997,0.10775993119911652,0.41876533193168464,940.4590990502581,937.8031412227938,949.0009341279874,0.01385196196049003,0.00018589994702744865,3081.7667581754886,3081.6852330136267,3081.9276774192695,3090.4521893284837,2583.027853327222,3160.8681199208536,3069.3375419786444,3066.1487127675714,3063.2838531240027,3071.808365033217,2551.954812835111,3136.0096875271647
