time,num_points,sect_id,mean_factor,factor_1,factor_2,channel,skygroup,module,output,quarter,season,nn_sect_id,nn_ntt,nn_transit_time,nn_q1,nn_q2,nn_period,nn_t0,nn_rp,nn_b,nn_e,nn_pomega,nn_channel,nn_skygroup,nn_module,nn_output,nn_quarter,nn_season,kicid
148.677426,43.0,0.0,15.459041560005922,29.905071195064767,1.0130119249470722,14.0,10.0,6.0,2.0,1.0,3.0,5.0,165.0,245.1240946837061,,,,,,,,,74.0,10.0,22.0,2.0,2.0,0.0,9933424.0
1055.028671,22.0,60.0,1.8899750467505156,1.981538882304677,1.7984112111963535,26.0,18.0,9.0,2.0,11.0,1.0,54.0,154.0,959.6877246329968,,,,,,,,,66.0,18.0,19.0,2.0,10.0,0.0,10534553.0
404.91085699999996,18.0,14.0,1.270272957979744,1.260778771132323,1.279767144827165,36.0,36.0,11.0,4.0,4.0,2.0,1.0,224.0,143.58845841232687,0.7945444921938856,0.4594910411102034,3111.354042568445,-0.02859353168689568,0.05107110382920553,0.8423781024509974,0.0,0.0,80.0,36.0,23.0,4.0,1.0,3.0,9911615.0
1565.39682,14.0,85.0,1.324592577429229,1.254502768866825,1.3946823859916333,77.0,33.0,23.0,1.0,17.0,3.0,75.0,121.0,1339.6711713315235,0.7417803261076795,0.7382619965294854,1376.4900882787067,-0.1422745840915219,0.1784744503789751,0.7640511488598245,0.0,0.0,49.0,33.0,15.0,1.0,14.0,0.0,9785454.0
972.8881220000001,11.0,53.0,2.0164773379095338,2.100599178860448,1.93235549695862,52.0,36.0,15.0,4.0,10.0,0.0,62.0,168.0,1209.4439254259125,,,,,,,,,80.0,36.0,23.0,4.0,13.0,3.0,9791622.0
1309.837769,1.0,67.0,1.1937397502450184,1.310890641232553,1.0765888592574837,52.0,36.0,15.0,4.0,14.0,0.0,9.0,357.0,238.6884290169983,,,,,,,,,52.0,36.0,15.0,4.0,2.0,0.0,9791622.0
1575.348599,4.0,104.0,1.0996182287565601,1.158812769789992,1.040423687723128,62.0,38.0,18.0,2.0,17.0,3.0,25.0,523.0,521.6106688609143,,,,,,,,,62.0,38.0,18.0,2.0,5.0,3.0,9772095.0
173.38195100000002,33.0,3.0,1.5545272905184198,1.6598785742823974,1.4491760067544424,46.0,38.0,14.0,2.0,2.0,0.0,31.0,319.0,594.9685586602428,,,,,,,,,46.0,38.0,14.0,2.0,6.0,0.0,9772095.0
1052.903775,33.0,63.0,1.8576160479686843,1.4771021035048453,2.2381299924325235,23.0,39.0,8.0,3.0,11.0,1.0,57.0,414.0,958.4618920979557,,,,,,,,,47.0,39.0,14.0,3.0,10.0,0.0,9776614.0
1457.875874,14.0,86.0,2.7696227994277502,3.7930419750418665,1.7462036238136327,48.0,24.0,14.0,4.0,15.0,1.0,83.0,238.0,1423.3238370919134,,,,,,,,,48.0,24.0,14.0,4.0,15.0,1.0,10658900.0
135.824186,61.0,0.0,4.502990374280705,1.1133926372464755,7.892588111314933,17.0,25.0,7.0,1.0,1.0,3.0,17.0,100.0,404.6456031493726,,,,,,,,,25.0,25.0,9.0,1.0,4.0,2.0,9758543.0
245.246902,11.0,7.0,2.308303838854433,1.0562763089098357,3.5603313687990314,57.0,25.0,17.0,1.0,2.0,0.0,42.0,263.0,707.6153429299303,,,,,,,,,65.0,25.0,19.0,1.0,7.0,1.0,9758543.0
991.952407,45.0,50.0,2.0395931241186167,2.9617076210028084,1.1174786272344257,50.0,34.0,15.0,2.0,10.0,0.0,48.0,355.0,964.346761088811,,,,,,,,,50.0,34.0,15.0,2.0,10.0,0.0,10223090.0
1568.932508,34.0,104.0,1.1657075967738544,1.3184428689825471,1.0129723245651616,40.0,24.0,12.0,4.0,17.0,3.0,7.0,110.0,217.2124392446713,,,,,,,,,64.0,24.0,18.0,4.0,2.0,0.0,10266166.0
1394.329727,23.0,89.0,5.671623509098829,1.0101677681748855,10.333079250022774,26.0,18.0,9.0,2.0,15.0,1.0,95.0,283.0,1504.4839551346595,,,,,,,,,18.0,18.0,7.0,2.0,16.0,2.0,10272501.0
1555.691531,10.0,109.0,1.6448713006520947,1.6462123175261298,1.6435302837780597,9.0,9.0,4.0,1.0,16.0,2.0,98.0,281.0,1424.2020787763904,,,,,,,,,69.0,9.0,20.0,1.0,15.0,1.0,10517766.0
373.300683,13.0,17.0,2.1387376517017307,1.0496501845304904,3.2278251188729707,35.0,35.0,11.0,3.0,4.0,2.0,4.0,212.0,174.46461190210542,0.9227004945814662,0.15206450992239706,1632.6397667820522,-0.09148087635242913,0.052400197135411226,0.9136862274589111,0.0,0.0,51.0,35.0,15.0,3.0,2.0,0.0,10687164.0
1157.194641,22.0,49.0,1.0607740036601003,1.0778213422373022,1.0437266650828985,23.0,23.0,8.0,3.0,12.0,2.0,64.0,210.0,1426.5520824289633,,,,,,,,,47.0,23.0,14.0,3.0,15.0,1.0,9822256.0
773.860186,46.0,35.0,1.4818251462795922,1.2405921034663785,1.723058189092806,22.0,22.0,8.0,2.0,8.0,2.0,37.0,106.0,791.2902547720661,,,,,,,,,22.0,22.0,8.0,2.0,8.0,2.0,9823179.0
1298.456082,1.0,1.0,2.4683677485944395,1.0477011895746386,3.88903430761424,47.0,39.0,14.0,3.0,14.0,0.0,5.0,495.0,1358.4290306567418,,,,,,,,,47.0,39.0,14.0,3.0,14.0,0.0,9838448.0
1332.989332,17.0,3.0,3.7537333945160385,1.284206567498245,6.223260221533833,47.0,39.0,14.0,3.0,14.0,0.0,5.0,474.0,1357.9999308102197,,,,,,,,,47.0,39.0,14.0,3.0,14.0,0.0,9838448.0
1056.193417,7.0,73.0,2.507364528966268,3.0143835616438346,2.0003454962887006,23.0,39.0,8.0,3.0,11.0,1.0,59.0,747.0,866.2835361294565,,,,,,,,,63.0,39.0,18.0,3.0,9.0,3.0,9895138.0
1224.341226,15.0,80.0,1.1744826186540442,1.1023625301832924,1.2466027071247958,37.0,21.0,12.0,1.0,13.0,3.0,14.0,108.0,310.6120717979502,0.2556444670861163,0.8458511200366423,1050.049569902235,-0.11184723346528262,0.05624838678208463,0.4661038658041298,0.0,0.0,45.0,21.0,14.0,1.0,3.0,1.0,9945280.0
