##
## Kepler Eclipsing Binary Catalog
## Revision Date (Y/M/D): March 30, 2015, 4:41 p.m.
## Download Date (Y/M/D): 
##
## Query String: 
##
#KIC,period,bjd0,morph,T2/T1,rho1+rho2,q,e_sin_omega,e_cos_omega,FF,sin_i,SC,
7130044,0.2976650,54964.695612,0.75,-999,-999,-999,-999,-999,-999,-999,False,
5557368,0.2979309,54953.769422,0.93,-999,-999,-999,-999,-999,-999,-999,False,
7941050,0.2979811,54964.785178,0.86,-999,-999,-999,-999,-999,-999,-999,False,
10149237,0.2979959,54951.244018,0.93,-999,-999,-999,-999,-999,-999,-999,False,
10880490,0.2980053,54964.858588,0.74,-999,-999,-999,-999,-999,-999,-999,False,
4651526,0.2981451,54999.973155,0.94,-999,-999,-999,-999,-999,-999,-999,False,
5617953,0.2986960,55002.067477,0.74,-999,-999,-999,-999,-999,-999,-999,False,
11604958,0.2989297,54964.653176,0.72,-999,-999,-999,-999,-999,-999,-999,False,
5961327,0.2992020,54964.708008,0.75,-999,-999,-999,-999,-999,-999,-999,False,
11127048,0.2993229,54964.787492,0.94,-999,-999,-999,-999,-999,-999,-999,False,
8309175,0.2995914,54964.749853,0.93,-999,-999,-999,-999,-999,-999,-999,False,
11496078,0.2997192,54953.600303,0.87,-999,-999,-999,-999,-999,-999,-999,True,
4036687,0.2997993,55000.292216,0.88,-999,-999,-999,-999,-999,-999,-999,False,
5881838,0.3003313,55005.795225,0.72,-999,-999,-999,-999,-999,-999,-999,False,
2996347,0.3010109,55002.149843,0.88,-999,-999,-999,-999,-999,-999,-999,False,
7597095,0.3012058,54964.709147,0.75,-999,-999,-999,-999,-999,-999,-999,False,
11716688,0.3012184,54964.845939,0.93,-999,-999,-999,-999,-999,-999,-999,False,
9274472,0.3020905,54964.725707,0.90,-999,-999,-999,-999,-999,-999,-999,False,
4074708,0.3021166,54964.856673,0.73,-999,-999,-999,-999,-999,-999,-999,False,
8394040,0.3021265,54964.878453,0.77,-999,-999,-999,-999,-999,-999,-999,False,
8625469,0.3022458,55000.521144,0.77,-999,-999,-999,-999,-999,-999,-999,False,
9161428,0.3025934,55002.085278,0.93,-999,-999,-999,-999,-999,-999,-999,False,
8298344,0.3028750,54964.816991,0.96,-999,-999,-999,-999,-999,-999,-999,False,
9948201,0.3031810,54964.901895,0.90,-999,-999,-999,-999,-999,-999,-999,False,
4941060,0.3034224,54964.691063,0.74,-999,-999,-999,-999,-999,-999,-999,False,
10355671,0.3036296,54953.637108,0.95,-999,-999,-999,-999,-999,-999,-999,False,
7877062,0.3036515,54964.778743,0.81,-999,-999,-999,-999,-999,-999,-999,False,
9470175,0.3038318,54964.841477,0.75,-999,-999,-999,-999,-999,-999,-999,False,
3745184,0.3042328,54964.732045,0.66,-999,-999,-999,-999,-999,-999,-999,False,
7273033,0.3050331,55002.049227,0.96,-999,-999,-999,-999,-999,-999,-999,False,
8431611,0.3053095,55001.481851,0.74,-999,-999,-999,-999,-999,-999,-999,False,
