kicid,num_peaks,peak_id,accept_bic,accept_time,channel,skygroup,module,output,quarter,season,chunk,t0,s2n,bkg,depth,depth_ivar,transit_ror,transit_duration,transit_time,transit_depth,transit_impact,chunk_min_time,chunk_max_time,centroid_offset,centroid_offset_err,lnlike_gp,lnlike_outlier,lnlike_box1,lnlike_box2,lnlike_step,lnlike_transit,bic_gp,bic_outlier,bic_box1,bic_box2,bic_step,bic_transit,offset,accept_offset,accept_impact,accept
10266153,3,1,False,True,40,24,12,4,17,3,75,1577.9966995984469,155.14357377715075,5.892144600138549,0.002036944843583661,5862124844.747943,0.015067611908521654,1.717185607406795,1578.1485940370653,0.0002854401871539292,0.327643989322628,1570.7511556295794,1581.5608845485767,0.0001117184809042709,0.00010379470567477418,3826.258952417557,,3822.4418392907287,,3824.369141877249,3828.8650711654413,3813.8297362207127,,3803.798014995463,,3793.2961013851377,3807.1139428209635,0.3912784428632113,True,True,False
10266153,3,2,False,True,48,24,14,4,15,1,70,1454.8577744819174,121.56168853728607,2.950510441868336,0.0015917573641836135,5832298084.677828,0.0008067635556522003,0.8191465882214783,1454.7895105127454,8.060975461576804e-07,0.3812939533817436,1449.4165592153006,1460.2868987714246,5.597851765213554e-05,7.150636508335226e-05,,,3822.92955238072,,,3825.924162818364,,,3804.285728085453,,,3804.173034473886,69.4437947303215,False,True,False
10187159,1,0,True,True,75,11,22,3,6,0,21,604.0182150107174,78.89306120510439,2.7001129627865907,0.004086386099181598,373855444.14038247,0.07108552676701901,0.4969112955914961,604.1085087350855,0.0065850002641656405,0.09362112087968576,599.2182150107183,610.7834169833367,0.0003099818432322904,0.00020279341900929844,3160.943418063358,3171.112445565323,3190.678968503772,3221.384676305854,3204.0050362586267,3263.3936552519285,3148.5142018665138,3155.575925319268,3172.0351442085052,3202.740852010588,3172.931995766516,3241.642526907451,0.046763948422063904,True,True,True
10288023,1,0,False,True,50,34,15,2,14,0,51,1356.5486146682147,64.16804586557808,2.328745293920084,0.0017644567101361187,1322560696.1078663,0.01601167975598038,2.359354734643164,1356.2478708468605,0.0003354219903115574,0.0,1350.9504077014426,1362.1479144165714,0.00034872219914453337,0.00015174580796069534,3640.59800610488,,3638.883992713444,,3638.1739048146173,3642.8086658240386,3628.1687899080353,,3620.240168418177,,3607.100864322507,3621.0575374795612,1.0393034449727871,False,True,False
10287723,1,0,True,True,34,34,11,2,4,2,14,393.61408682696793,34.391560934596114,0.7514857228180056,0.0008814438025810977,1548808366.1918774,0.03972732636535542,0.4053064705594479,393.5979369829017,0.0014658067908630554,0.8067091820376361,385.45834969457786,396.8192956202038,0.00015748365786265564,7.688437218456252e-05,3621.627203394782,3621.8370609411986,3645.1337950300453,3633.9245407317376,3668.923857090708,3725.6670819703386,3609.1979871979383,3606.3005406951443,3626.4899707347786,3615.280716436471,3637.850816598597,3703.915953625861,0.10728072637385,True,True,True
10214873,1,0,False,True,39,39,12,3,16,2,74,1533.9434277708951,225.80387779691227,7.217077329072462,0.008831686892282089,653708697.5284193,0.020869076919149642,2.0293150048615844,1534.205047489396,0.0005549183398426694,0.2690939775278544,1528.5954716794806,1539.3027773258511,0.00033485627548946817,6.842330601614414e-05,,,3425.466377413965,,,3427.97910360547,,,3406.8225531186986,,,3406.227975260992,0.6030985706759548,False,True,False
10207302,1,0,False,True,66,18,19,2,14,0,82,1354.4484901010248,184.51180891510487,5.910088210335781,0.003947913890149467,2184303543.08086,0.01642185592490396,1.96174576035054,1354.241602354975,0.00035282649840129304,0.0,1349.0907716128931,1359.8182726312587,0.00019485625478614336,7.92012782521399e-05,3731.3985279084704,,3727.122115929906,,3738.857451140848,3733.623649475459,3718.969311711626,,3708.47829163464,,3707.7844106487373,3711.8725211309807,0.5520773105724356,False,True,False
10215558,1,0,False,True,23,39,8,3,15,1,70,1456.208115220776,60.202182815365965,2.0056042431994383,0.002329505355687779,667877864.6495148,0.016623384340050142,1.0090994835480815,1456.1046943626493,0.00034086099329444513,0.3939497026836273,1450.8267030181887,1461.594818854326,0.00011055259509954073,7.530612632806224e-05,3442.470557372173,,3439.7584902473845,,3441.9177220505712,3444.3329416342517,3430.041341175329,,3421.114665952118,,3410.8446815584603,3422.5818132897743,0.3242228187039811,True,True,False
10666394,1,0,False,False,66,18,19,2,14,0,79,1304.5125662034175,41.177900959469405,1.4321079099436818,0.001839131157692964,1586218336.652381,0.016564022968923543,1.1927946005187444,1305.161966125725,0.00035896161252368936,0.0,1296.412566203413,1304.974405951776,0.00017189627614079003,3.744188152013408e-05,,,2947.900626047283,,,2949.9059100862437,,,2929.888964845963,,,2928.892305351371,0.47869901956432637,True,True,False
10651636,1,0,False,True,34,6,11,2,5,3,14,487.53771828109,48.632857125284936,1.828797232245276,0.002502005048834637,377818512.47080487,0.019037071653471425,0.9997031903364816,487.3899049348809,0.00044546727453642626,0.4046047184843688,482.1727956139292,492.90079793750914,0.00011415581504134065,0.00010840345653346321,,,3273.9157921731708,,,3276.966582012507,,,3255.271967877904,,,3255.215453668029,0.2561466776213462,True,True,False
10196314,2,0,False,False,39,23,12,3,9,3,34,873.2248480716852,47.242781471227005,1.6623322028837262,0.0013071514937984055,2831724235.4956603,0.0015708915929337113,1.045021642707883,873.9176175950751,2.921159335755874e-06,0.5012758114095922,862.9735908000075,874.0898524984806,0.00014375118330373158,7.805904467218057e-05,,,3788.6638202768977,,,3787.713445520108,,,3770.019995981631,,,3765.96231717563,49.21017543413932,False,True,False
10196314,2,1,False,False,39,23,12,3,5,3,18,503.43762572712325,44.51028042054031,1.6392029051153785,0.0015942331084852065,3118006410.894584,0.013189746822086665,2.3327422339706243,504.1930796319133,0.00022713030998811054,0.07738178019286875,493.10507343937934,503.85351380747306,0.00019429795767723036,0.00036030331358505584,,,3809.399386399678,,,3809.903316538477,,,3790.755562104411,,,3788.152188193999,0.8552527697956367,False,True,False
10784969,1,0,False,True,34,6,11,2,5,3,14,486.63764159959817,64.85753453341115,2.1781806135243973,0.0024795567102013,684183987.0922989,0.016518667687390517,1.157073905459724,486.1217497038285,0.0002704314035528732,0.75372201614584,481.29404400711786,492.001614322624,1.4014512667598071e-05,9.738142314125295e-05,,,3447.160826603583,,,3450.227374733949,,,3428.517002308316,,,3428.476246389472,0.05180878595901665,True,True,False
10652321,1,0,False,False,50,6,15,2,15,1,51,1434.5105734471285,29.80432237671271,1.1222803667170975,0.0022030295618148173,396779970.82822984,0.02224238960488817,2.06895436729661,1435.3099183536608,0.00048574699614079014,0.7621694439685315,1424.1613479634545,1435.3585766676404,0.0007835723016191114,0.0003412257230979645,,,3328.985396806188,,,3330.057864562832,,,3310.341572510921,,,3308.3067362183533,1.6123448831381728,False,True,False
10718976,1,0,False,True,50,6,15,2,11,1,39,1088.1597653170206,77.21499840712374,2.058558725370667,0.0005406263752391465,20407301786.278496,0.015855146115972926,1.189540851591241,1088.4860237829885,0.0003288959094073229,0.0009859351787508991,1082.1428344788437,1093.564917094758,0.0002185072200934515,0.00025655906931150186,4077.5848983767796,,4069.492840692429,,4074.6650319241107,4081.01990117706,4065.155682179936,,4050.8490163971633,,4043.591991432,4059.268772832582,0.6641473722072486,False,True,False
10713355,1,0,False,True,12,12,4,4,16,2,74,1536.0439197708008,74.77807686174253,2.839860062769447,0.0020031217067775216,1393587284.0363975,0.013949086965768928,1.3418488363524719,1536.1733115862826,0.00025422719358103585,0.06204006708922642,1530.7006834100393,1541.3876629892984,0.00023911449800006508,0.00017759856966813678,,,3630.635675516289,,,3633.495282471004,,,3611.9918512210224,,,3611.7441541265257,0.9403152559133874,False,True,False
10668646,1,0,True,True,25,17,9,1,15,1,70,1449.1580609035361,88.88228738688721,1.6156247053397352,0.0036869371018160733,581164381.9363343,0.08404123211202359,0.5152081624515709,1449.153316988347,0.0057458282238975755,0.8794907614891802,1443.7773433108523,1454.5250302468849,0.01231001350370496,0.00010582514822306796,3295.4167315807513,3295.734610085035,3298.732549180659,3310.8764434848076,3298.494157313113,3382.8325928543754,3282.987515383907,3280.19808983898,3280.088724885392,3292.232619189541,3267.4211168210027,3361.0814645098976,2.1301162867651,False,True,False
