##
## Kepler Eclipsing Binary Catalog
## Revision Date (Y/M/D): June 28, 2016, 4:08 p.m.
## Download Date (Y/M/D): 2016/06/29
##
## Query String: {&quot;sort&quot;:&quot;p&quot;,&quot;kics&quot;:[],&quot;campaign&quot;:[&quot;-2&quot;],&quot;etvlong&quot;:true,&quot;cols&quot;:[&quot;etv&quot;,&quot;glon&quot;,&quot;scdata&quot;,&quot;bjd0&quot;,&quot;morph&quot;,&quot;glat&quot;,&quot;kic&quot;,&quot;lcdata&quot;,&quot;keff&quot;,&quot;p&quot;,&quot;figs&quot;,&quot;bjd0err&quot;,&quot;perr&quot;,&quot;kmag&quot;],&quot;etvshort&quot;:true,&quot;incat1&quot;:true,&quot;incat0&quot;:true,&quot;kois&quot;:[]}
##
#KIC,period,period_err,bjd0,bjd0_err,morph,GLon,GLat,kmag,Teff,SC,ETV,
12016267,0.0574700,-1,54984.677006,-1,-1.00,82.7079,14.2936,11.6380,6186.0000,False,short,
10917681,0.0594300,-1,54997.432774,-1,-1.00,79.9266,15.1313,14.1070,5811.0000,False,short,
12254688,0.0595700,0.0000000,54984.094305,0.000474,-1.00,82.0622,16.8823,13.0720,6793.0000,False,short,
9842937,0.0600000,-1,54993.360550,-1,-1.00,80.1151,10.8256,15.3310,5463.0000,False,short,
6183478,0.0612730,-1,55002.020000,-1,-1.00,71.3261,17.2289,11.2670,-1.0000,False,short,
8107115,0.0615200,-1,55060.895176,-1,-1.00,77.2780,10.4421,15.3700,5428.0000,False,short,
6864893,0.0674900,-1,54758.464316,-1,-1.00,74.9263,11.4772,14.9230,5229.0000,False,short,
7124026,0.0697700,0.0000000,55002.020000,0.014897,-1.00,75.6149,10.7341,13.2760,5821.0000,False,short,
6032172,0.0704500,0.0000000,55002.010240,0.008976,-1.00,72.6388,13.7025,12.7810,7375.0000,False,short,
2998561,0.0704900,-1,55070.372260,-1,-1.00,71.4031,8.8514,11.5690,7184.0000,False,short,
8914779,0.0714400,-1,55058.152371,-1,-1.00,80.3036,7.4579,11.5110,5986.0000,True,short,
7906739,0.0721200,-1,54999.200170,-1,-1.00,77.5892,9.1849,13.6010,5652.0000,False,short,
3952651,0.0723700,-1,55087.829215,-1,-1.00,71.3924,10.8757,13.9600,-1.0000,False,short,
3001885,0.0732601,0.0000000,55102.033255,0.001712,-1.00,71.7271,8.3870,15.5960,4570.0000,False,short,
